country,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa
Kazakhstan,0.116208611356882,0.137536889524744,0.764075629413533,0.121749304174424
Kuwait,0.137172119242163,0.171595988914012,1.27666644115719,0.272131167986372
Kyrgyzstan,0.136988390656723,0.160462801575633,0.69955127022353,0.167667861696261
Lebanon,0.106670630725266,0.116752413554119,0.386915457376714,0.247146974733227
Libya,0.155426777532307,0.176890550823787,0.434611288194468,0.267343761670421
Malaysia,0.128576475573133,0.134412292112342,0.649806057240558,0.156364712261159
Mali,0.150330369451605,0.14832945898736,0.331215963028221,0.257371856910105
Mexico,0.0752247712872093,0.0761214852908371,0.280416390609245,0.0589065045843685
Moldova,0.104459193423475,0.10862909894001,0.585396051648069,0.117588131104496
Morocco,0.153627449117799,0.148206467791875,0.443534201992031,0.150898676416124
Netherlands,0.0822372379688003,0.0514121415927126,0.0603390568121052,0.0341913174333371
New Zealand,0.0541673331886272,0.0543208653781205,0.0424378544921463,0.0648045909947234
Nigeria,0.153912549101687,0.158899850575977,0.461110263098363,0.263490519139578
Norway,0.120088348955552,0.110608527022266,0.0170131267761095,0.0735337063833623
Pakistan,0.191632979545635,0.205001464258369,0.366471610641024,0.425903333437809
Palestine,0.151907552087852,0.167894558800582,0.387506744354521,0.376579119903141
Peru,0.09573698526183,0.093080703105032,0.229188776501613,0.0809841041380413
Philippines,0.156740781270742,0.161965658529699,0.658584527501165,0.26613453579357
Poland,0.0790668206288022,0.0780406297501256,0.244216603608822,0.0552141782215148
Qatar,0.181360256041432,0.229748369497818,NA,0.395868146916959
Romania,0.109972291329285,0.116332451382237,0.410037908968058,0.0757349534652357
Russia,0.0919652266190042,0.100085749598954,0.438665692101446,0.0993774119573062
Rwanda,0.164235999063952,0.159527627306881,0.361619566325667,0.151538798002949
Serbia and Montenegro,0.0714122144824964,0.0774815068057354,0.193789554129248,0.0423084641958639
Singapore,0.0331007342408471,0.0435709147716596,NA,0.0635398875539966
Slovenia,0.078236666627032,0.0727202902930579,0.152007763237783,0.0504360598124331
South Africa,0.0775239756055437,0.0786389668446095,0.242407668227345,0.0650781400376889
South Korea,0.0778246070764334,0.0626388882692379,0.0950791347821922,0.0792311338642671
Spain,0.0782036728387198,0.0687634198308578,0.180384219869615,0.0412969750491968
Sweden,0.108898943947004,0.0967717099864005,0.0548547269505727,0.060907567791121
Switzerland,0.0636546745734697,0.0646386470974525,0.0155588103416636,0.0438921110380529
Taiwan,0.104485799117913,0.104752412735761,0.457142214788289,0.0938014162186633
Thailand,0.139297404513815,0.138177404902773,0.475324887531057,0.078749472623834
Trinidad and Tobago,0.0993108600707026,0.0838169879277373,0.133301478747557,0.0860786661739083
Tunisia,0.178998906094547,0.202483865857824,0.613272253485697,0.369356660680565
Turkey,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231
Ukraine,0.0854309706855056,0.0887797623186037,0.492240464356304,0.0825106708978714
USA,0,0,0,0
Uruguay,0.0876510886890234,0.0788202843985168,0.315311536846393,0.065528668019238
Uzbekistan,0.158066596415321,0.178829518759569,NA,0.315217000669636
Viet Nam,0.174486771108667,0.160152833532328,0.866352287735934,0.132753982904544
Yemen,0.228542964541985,0.257906644352223,0.639151712303418,0.489764243547768
Zambia,0.090896019341759,0.0914435764040242,0.335189560168615,0.106328641824091
Zimbabwe,0.132420373411078,0.134162702172153,0.36104318029743,0.149056979065863
